"","Base","Bottom-up","Top-down","SDFR","Empirical"
"Total",50.86,50.57,50.86,50.34,50.35
"Bottom",23.97,23.97,23.9,23.83,23.82
"Hierarchy",62.74,55.87,56.02,55.63,55.64
